Value of N(Grid Crossection),Time in Attempt 1,Time in Attempt 2,Time in Attempt 3,Average Time
1,0,0,0,0
2,1.7004163265228271,0.42681026458740234,0.5733163356781006,2.70054292678833
3,0.8575305938720703,1.8449687957763672,1.7931971549987793,4.495696544647217
4,2.178990364074707,2.4280457496643066,1.57735013961792,6.184386253356934
5,4.955716609954834,28.470476865768433,2.3167035579681396,35.742897033691406
6,1.2599263191223145,14.882786512374878,2.451488971710205,18.594201803207397
7,1.3458757400512695,31.640820741653442,3.841318368911743,36.828014850616455
8,23.68472170829773,46.95630502700806,41.731000661849976,112.37202739715576
9,27.822932481765747,42.15778398513794,50.78289437294006,120.76361083984375
10,12.634434461593628,95.87361001968384,6.94131875038147,115.44936323165894
